Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	3	Monte da Virgem VHF	 41,11313	-008,59838	200,1
Fixed unit	4	Sardoura VHF	 41,04918	-008,31171	333,9
Fixed unit	5	Resende VHF	 41,13410	-007,98018	554,5
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 036,2	3
 41,40347	-008,71083	 037,7	3
 41,40347	-008,70584	 038,4	3
 41,40347	-008,70085	 037,8	3
 41,40347	-008,69586	 034,8	3
 41,40348	-008,69087	 027,9	3
 41,40347	-008,68588	 033,7	3
 41,40347	-008,68089	 033,7	3
 41,40347	-008,67590	 030,7	3
 41,40347	-008,67091	 029,3	3
 41,40347	-008,66593	 013,5	3
 41,40347	-008,66093	 019,5	3
 41,40347	-008,65594	 015,5	3
 41,40347	-008,65095	 012,2	0
 41,40347	-008,64596	 019,5	3
 41,40347	-008,64097	 015,4	3
 41,40347	-008,63598	 009,2	0
 41,40347	-008,63099	 013,6	3
 41,40347	-008,62600	 016,0	3
 41,40347	-008,62101	 000,7	0
 41,40347	-008,61602	 006,4	3
 41,40347	-008,61103	-000,4	0
 41,40347	-008,60604	 016,0	3
 41,40347	-008,60105	 028,1	3
 41,40347	-008,59606	 037,5	3
 41,40348	-008,59107	 013,1	3
 41,40347	-008,58608	 011,2	3
 41,40347	-008,58109	 008,4	0
 41,40347	-008,57610	 027,7	3
 41,40347	-008,57111	 007,9	0
 41,40347	-008,56612	 033,1	3
 41,40347	-008,56113	 038,0	3
 41,40347	-008,55614	 041,9	3
 41,40347	-008,55115	 046,1	3
 41,40347	-008,54616	 047,1	3
 41,40347	-008,54117	 027,6	3
 41,40347	-008,53618	 021,3	0
 41,40347	-008,53119	 016,4	0
 41,40347	-008,52620	 017,4	0
 41,40347	-008,52121	 023,6	3
 41,40347	-008,51622	 016,8	3
 41,40347	-008,51123	 022,8	0
 41,40348	-008,50624	 026,7	3
 41,40347	-008,50125	 037,3	3
 41,40347	-008,49626	 036,3	3
 41,40347	-008,49127	 025,6	3
 41,40347	-008,48628	 021,5	3
 41,40347	-008,48129	 032,5	3
 41,40347	-008,47630	 035,2	3
 41,40347	-008,47131	 035,1	3
 41,40347	-008,46632	 032,5	3
 41,40347	-008,46133	 030,2	3
 41,40347	-008,45634	 030,1	3
 41,40347	-008,45135	 023,1	3
 41,40348	-008,44636	 009,2	0
 41,40347	-008,44137	 014,1	0
 41,40347	-008,43638	 031,5	3
 41,40347	-008,43139	 034,9	3
 41,40347	-008,42640	 006,3	0
 41,40347	-008,42141	 035,9	3
 41,40347	-008,41642	 034,9	3
 41,40347	-008,41143	 034,6	3
 41,40347	-008,40644	 025,0	0
 41,40347	-008,40145	 015,8	0
 41,40347	-008,39646	 023,1	3
 41,40347	-008,39147	 021,4	0
 41,40347	-008,38648	 017,0	0
 41,40347	-008,38149	 016,3	0
 41,40347	-008,37650	 004,4	0
 41,40347	-008,37151	 012,5	0
 41,40347	-008,36652	 009,2	0
 41,40347	-008,36153	 013,6	0
 41,40347	-008,35654	 022,3	0
 41,40347	-008,35155	 026,6	0
 41,40348	-008,34656	 029,2	0
 41,40347	-008,34157	 029,7	0
 41,40347	-008,33658	 025,9	0
 41,40347	-008,33159	 005,5	0
 41,40347	-008,32660	 021,6	4
 41,40347	-008,32161	 014,1	0
 41,40347	-008,31662	 023,6	0
 41,40347	-008,31163	 029,3	0
 41,40347	-008,30663	 026,1	0
 41,40347	-008,30165	 021,6	3
 41,40347	-008,29666	 016,8	3
 41,40347	-008,29167	 030,0	3
 41,40347	-008,28667	 004,6	0
 41,40347	-008,28168	 012,7	0
 41,40347	-008,27670	-012,1	0
 41,40347	-008,27170	 017,4	4
 41,40347	-008,26672	 027,8	4
 41,40347	-008,26172	 027,2	0
 41,40347	-008,25673	 026,8	0
 41,40347	-008,25174	 012,1	4
 41,40347	-008,24675	 026,8	0
 41,40347	-008,24176	 028,5	0
 41,40347	-008,23677	 008,3	4
 41,40347	-008,23178	 009,5	4
 41,40347	-008,22679	 012,3	4
 41,40347	-008,22180	-002,9	0
 41,40347	-008,21681	 005,5	0
 41,40347	-008,21182	 002,2	0
 41,40347	-008,20683	 013,2	0
 41,40347	-008,20184	 018,7	0
 41,40347	-008,19685	 031,0	0
 41,40347	-008,19186	 027,3	0
 41,40347	-008,18687	 018,5	0
 41,40347	-008,18188	 027,3	0
 41,40347	-008,17689	 029,4	0
 41,40347	-008,17190	 026,6	3
 41,40347	-008,16691	 026,9	0
 41,40347	-008,16192	 013,3	4
 41,40347	-008,15693	 002,6	0
 41,40347	-008,15194	 027,7	0
 41,40347	-008,14695	 033,3	0
 41,40347	-008,14196	 006,8	4
 41,40347	-008,13697	 014,0	4
 41,40347	-008,13198	 025,2	0
 41,40347	-008,12699	 009,2	0
 41,40347	-008,12200	 011,5	0
 41,40347	-008,11701	 033,0	0
 41,40347	-008,11202	 022,3	0
 41,40347	-008,10703	 003,8	0
 41,40347	-008,10204	 004,3	0
 41,40347	-008,09705	 007,5	0
 41,40347	-008,09206	 027,0	4
 41,40347	-008,08707	 027,7	4
 41,40347	-008,08208	 036,0	0
 41,40347	-008,07709	 037,3	0
 41,40347	-008,07210	 038,3	0
 41,40347	-008,06711	 012,9	0
 41,40347	-008,06212	 012,9	0
 41,40347	-008,05713	 012,9	0
 41,40347	-008,05214	 013,5	0
 41,40347	-008,04715	 007,6	0
 41,40347	-008,04216	 015,4	4
 41,40347	-008,03717	 022,5	4
 41,40347	-008,03218	 032,9	4
 41,40347	-008,02719	 026,0	0
 41,40347	-008,02220	-002,4	0
 41,40347	-008,01721	-001,8	5
 41,40347	-008,01222	 003,2	0
 41,40347	-008,00723	 013,7	0
 41,40347	-008,00224	 017,5	0
 41,40347	-007,99725	 014,6	0
 41,40347	-007,99226	 018,7	0
 41,40347	-007,98727	 018,2	4
 41,40347	-007,98228	 018,8	0
 41,40347	-007,97729	 000,6	5
 41,40347	-007,97230	-007,2	0
 41,40347	-007,96731	 012,5	0
 41,40347	-007,96232	 007,5	4
 41,40347	-007,95733	 006,7	4
 41,40347	-007,95234	 018,4	4
 41,40347	-007,94735	 020,4	4
 41,40347	-007,94236	 020,2	4
 41,40347	-007,93737	 015,3	4
 41,40347	-007,93238	 022,4	4
 41,40347	-007,92739	 029,5	4
 41,40347	-007,92240	 033,8	4
 41,40347	-007,91741	 017,8	4
 41,40348	-007,91242	 019,2	4
 41,40347	-007,90743	 014,5	0
 41,40347	-007,90244	 014,1	0
 41,40347	-007,89745	 025,0	0
 41,40347	-007,89246	 022,9	0
 41,40347	-007,88747	 022,1	0
 41,40347	-007,88247	 014,2	4
 41,40347	-007,87748	 016,7	0
 41,40347	-007,87250	 013,5	4
 41,40347	-007,86751	-000,2	0
 41,40347	-007,86251	-003,0	0
 41,40347	-007,85752	 013,6	4
 41,40347	-007,85253	 022,2	3
 41,40347	-007,84754	 039,0	0
 41,40347	-007,84255	 038,2	0
