Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	3	Monte da Virgem VHF	 41,11313	-008,59838	200,1
Fixed unit	4	Sardoura VHF	 41,04918	-008,31171	333,9
Fixed unit	5	Resende VHF	 41,13410	-007,98018	554,5
Fixed unit	9	Antena1_2	 41,30582	-007,90543	1076,0
Fixed unit	10	Antena2_2	 41,14132	-007,40442	684,9
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 036,2	3
 41,40347	-008,71083	 037,7	3
 41,40347	-008,70584	 038,4	0
 41,40347	-008,70085	 037,8	0
 41,40347	-008,69586	 034,8	0
 41,40348	-008,69087	 030,1	0
 41,40347	-008,68588	 033,7	0
 41,40347	-008,68089	 033,7	0
 41,40347	-008,67590	 030,7	0
 41,40347	-008,67091	 030,7	0
 41,40347	-008,66593	 023,7	9
 41,40347	-008,66093	 019,5	3
 41,40347	-008,65594	 026,6	9
 41,40347	-008,65095	 020,6	0
 41,40347	-008,64596	 022,8	0
 41,40347	-008,64097	 025,5	9
 41,40347	-008,63598	 016,6	0
 41,40347	-008,63099	 013,6	0
 41,40347	-008,62600	 016,0	0
 41,40347	-008,62101	 016,9	9
 41,40347	-008,61602	 015,1	0
 41,40347	-008,61103	 014,2	9
 41,40347	-008,60604	 016,0	0
 41,40347	-008,60105	 028,1	3
 41,40347	-008,59606	 037,5	3
 41,40348	-008,59107	 020,3	0
 41,40347	-008,58608	 021,9	9
 41,40347	-008,58109	 034,8	9
 41,40347	-008,57610	 030,9	0
 41,40347	-008,57111	 024,3	9
 41,40347	-008,56612	 033,1	3
 41,40347	-008,56113	 038,0	3
 41,40347	-008,55614	 041,9	3
 41,40347	-008,55115	 046,1	3
 41,40347	-008,54616	 051,1	0
 41,40347	-008,54117	 045,9	9
 41,40347	-008,53618	 039,2	9
 41,40347	-008,53119	 032,2	9
 41,40347	-008,52620	 034,0	9
 41,40347	-008,52121	 025,8	0
 41,40347	-008,51622	 016,8	0
 41,40347	-008,51123	 032,0	0
 41,40348	-008,50624	 034,2	0
 41,40347	-008,50125	 037,3	0
 41,40347	-008,49626	 038,3	0
 41,40347	-008,49127	 032,8	0
 41,40347	-008,48628	 028,4	0
 41,40347	-008,48129	 032,5	3
 41,40347	-008,47630	 035,2	3
 41,40347	-008,47131	 035,1	0
 41,40347	-008,46632	 032,5	0
 41,40347	-008,46133	 030,2	0
 41,40347	-008,45634	 030,1	3
 41,40347	-008,45135	 023,1	3
 41,40348	-008,44636	 018,7	0
 41,40347	-008,44137	 014,1	0
 41,40347	-008,43638	 031,5	3
 41,40347	-008,43139	 034,9	3
 41,40347	-008,42640	 031,7	9
 41,40347	-008,42141	 047,4	9
 41,40347	-008,41642	 034,9	3
 41,40347	-008,41143	 040,3	0
 41,40347	-008,40644	 035,4	9
 41,40347	-008,40145	 032,6	9
 41,40347	-008,39646	 030,5	0
 41,40347	-008,39147	 030,7	0
 41,40347	-008,38648	 022,5	0
 41,40347	-008,38149	 020,1	0
 41,40347	-008,37650	 024,5	9
 41,40347	-008,37151	 015,5	0
 41,40347	-008,36652	 013,1	0
 41,40347	-008,36153	 016,4	0
 41,40347	-008,35654	 022,3	0
 41,40347	-008,35155	 026,6	0
 41,40348	-008,34656	 029,2	0
 41,40347	-008,34157	 036,1	0
 41,40347	-008,33658	 032,7	0
 41,40347	-008,33159	 010,2	0
 41,40347	-008,32660	 024,6	0
 41,40347	-008,32161	 014,1	0
 41,40347	-008,31662	 023,6	0
 41,40347	-008,31163	 030,1	0
 41,40347	-008,30663	 026,1	0
 41,40347	-008,30165	 021,6	0
 41,40347	-008,29666	 016,8	0
 41,40347	-008,29167	 030,0	3
 41,40347	-008,28667	 019,0	9
 41,40347	-008,28168	 019,9	0
 41,40347	-008,27670	 014,0	9
 41,40347	-008,27170	 044,8	9
 41,40347	-008,26672	 044,1	9
 41,40347	-008,26172	 040,8	9
 41,40347	-008,25673	 039,7	9
 41,40347	-008,25174	 029,0	9
 41,40347	-008,24675	 026,8	0
 41,40347	-008,24176	 039,2	9
 41,40347	-008,23677	 035,1	9
 41,40347	-008,23178	 029,4	9
 41,40347	-008,22679	 024,4	9
 41,40347	-008,22180	 025,2	9
 41,40347	-008,21681	 023,9	9
 41,40347	-008,21182	 017,2	9
 41,40347	-008,20683	 015,9	0
 41,40347	-008,20184	 018,7	0
 41,40347	-008,19685	 033,5	0
 41,40347	-008,19186	 033,9	0
 41,40347	-008,18687	 018,5	0
 41,40347	-008,18188	 027,3	0
 41,40347	-008,17689	 038,0	0
 41,40347	-008,17190	 031,6	0
 41,40347	-008,16691	 027,1	0
 41,40347	-008,16192	 028,3	9
 41,40347	-008,15693	 015,6	9
 41,40347	-008,15194	 027,7	0
 41,40347	-008,14695	 033,3	0
 41,40347	-008,14196	 027,3	9
 41,40347	-008,13697	 021,3	0
 41,40347	-008,13198	 025,2	0
 41,40347	-008,12699	 019,3	9
 41,40347	-008,12200	 026,5	9
 41,40347	-008,11701	 033,0	0
 41,40347	-008,11202	 035,4	9
 41,40347	-008,10703	 048,3	9
 41,40347	-008,10204	 052,2	9
 41,40347	-008,09705	 035,4	9
 41,40347	-008,09206	 027,0	0
 41,40347	-008,08707	 027,7	0
 41,40347	-008,08208	 036,0	0
 41,40347	-008,07709	 051,2	9
 41,40347	-008,07210	 056,3	9
 41,40347	-008,06711	 056,0	9
 41,40347	-008,06212	 057,1	9
 41,40347	-008,05713	 057,3	9
 41,40347	-008,05214	 057,4	9
 41,40347	-008,04715	 039,7	9
 41,40347	-008,04216	 015,4	0
 41,40347	-008,03717	 022,5	0
 41,40347	-008,03218	 057,3	9
 41,40347	-008,02719	 061,8	9
 41,40347	-008,02220	 043,4	9
 41,40347	-008,01721	 063,8	9
 41,40347	-008,01222	 051,3	9
 41,40347	-008,00723	 064,0	9
 41,40347	-008,00224	 056,9	9
 41,40347	-007,99725	 062,2	9
 41,40347	-007,99226	 057,3	9
 41,40347	-007,98727	 056,1	9
 41,40347	-007,98228	 064,8	9
 41,40347	-007,97729	 051,0	9
 41,40347	-007,97230	 038,1	9
 41,40347	-007,96731	 039,1	9
 41,40347	-007,96232	 034,1	9
 41,40347	-007,95733	 047,0	9
 41,40347	-007,95234	 052,1	9
 41,40347	-007,94735	 045,4	9
 41,40347	-007,94236	 036,7	9
 41,40347	-007,93737	 025,9	9
 41,40347	-007,93238	 029,5	0
 41,40347	-007,92739	 037,7	0
 41,40347	-007,92240	 036,3	0
 41,40347	-007,91741	 034,8	9
 41,40348	-007,91242	 031,8	9
 41,40347	-007,90743	 029,2	9
 41,40347	-007,90244	 023,0	0
 41,40347	-007,89745	 030,5	0
 41,40347	-007,89246	 037,0	9
 41,40347	-007,88747	 048,4	9
 41,40347	-007,88247	 056,3	9
 41,40347	-007,87748	 047,4	9
 41,40347	-007,87250	 040,7	9
 41,40347	-007,86751	 031,6	9
 41,40347	-007,86251	 022,2	9
 41,40347	-007,85752	 035,0	9
