Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	3	Monte da Virgem VHF	 41,11313	-008,59838	200,1
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 036,2	3
 41,40347	-008,71083	 037,7	3
 41,40347	-008,70584	 038,4	3
 41,40347	-008,70085	 037,8	3
 41,40347	-008,69586	 034,8	3
 41,40348	-008,69087	 027,9	3
 41,40347	-008,68588	 033,7	3
 41,40347	-008,68089	 033,7	3
 41,40347	-008,67590	 030,7	3
 41,40347	-008,67091	 029,3	3
 41,40347	-008,66593	 013,5	3
 41,40347	-008,66093	 019,5	3
 41,40347	-008,65594	 015,5	3
 41,40347	-008,65095	 012,2	3
 41,40347	-008,64596	 019,5	3
 41,40347	-008,64097	 015,4	3
 41,40347	-008,63598	 009,2	3
 41,40347	-008,63099	 013,6	3
 41,40347	-008,62600	 016,0	3
 41,40347	-008,62101	 000,7	3
 41,40347	-008,61602	 006,4	3
 41,40347	-008,61103	-002,2	3
 41,40347	-008,60604	 016,0	3
 41,40347	-008,60105	 028,1	3
 41,40347	-008,59606	 037,5	3
 41,40348	-008,59107	 013,1	3
 41,40347	-008,58608	 011,2	3
 41,40347	-008,58109	 008,4	3
 41,40347	-008,57610	 027,7	3
 41,40347	-008,57111	 007,8	3
 41,40347	-008,56612	 033,1	3
 41,40347	-008,56113	 038,0	3
 41,40347	-008,55614	 041,9	3
 41,40347	-008,55115	 046,1	3
 41,40347	-008,54616	 047,1	3
 41,40347	-008,54117	 027,6	3
 41,40347	-008,53618	 021,3	3
 41,40347	-008,53119	 016,4	3
 41,40347	-008,52620	 012,2	3
 41,40347	-008,52121	 023,6	3
 41,40347	-008,51622	 016,8	3
 41,40347	-008,51123	 022,8	3
 41,40348	-008,50624	 026,7	3
 41,40347	-008,50125	 037,3	3
 41,40347	-008,49626	 036,3	3
 41,40347	-008,49127	 025,6	3
 41,40347	-008,48628	 021,5	3
 41,40347	-008,48129	 032,5	3
 41,40347	-008,47630	 035,2	3
 41,40347	-008,47131	 035,1	3
 41,40347	-008,46632	 032,5	3
 41,40347	-008,46133	 030,2	3
 41,40347	-008,45634	 030,1	3
 41,40347	-008,45135	 023,1	3
 41,40348	-008,44636	 009,2	3
 41,40347	-008,44137	 014,1	3
 41,40347	-008,43638	 031,5	3
 41,40347	-008,43139	 034,9	3
 41,40347	-008,42640	 006,3	3
 41,40347	-008,42141	 035,9	3
 41,40347	-008,41642	 034,9	3
 41,40347	-008,41143	 034,6	3
 41,40347	-008,40644	 025,0	3
 41,40347	-008,40145	 015,8	3
 41,40347	-008,39646	 023,1	3
 41,40347	-008,39147	 021,4	3
 41,40347	-008,38648	 017,0	3
 41,40347	-008,38149	 016,3	3
 41,40347	-008,37650	 002,2	3
 41,40347	-008,37151	 008,9	3
 41,40347	-008,36652	 004,0	3
 41,40347	-008,36153	 011,2	3
 41,40347	-008,35654	 022,3	3
 41,40347	-008,35155	 026,6	3
 41,40348	-008,34656	 028,6	3
 41,40347	-008,34157	 028,7	3
 41,40347	-008,33658	 023,3	3
 41,40347	-008,33159	 005,5	3
 41,40347	-008,32660	 003,2	3
 41,40347	-008,32161	 014,1	3
 41,40347	-008,31662	 019,0	3
 41,40347	-008,31163	 022,4	3
 41,40347	-008,30663	 022,0	3
 41,40347	-008,30165	 021,6	3
 41,40347	-008,29666	 016,8	3
 41,40347	-008,29167	 030,0	3
 41,40347	-008,28667	 004,6	3
 41,40347	-008,28168	 012,7	3
 41,40347	-008,27670	-012,9	3
 41,40347	-008,27170	 004,9	3
 41,40347	-008,26672	 016,9	3
 41,40347	-008,26172	 027,2	3
 41,40347	-008,25673	 024,1	3
 41,40347	-008,25174	-003,3	3
 41,40347	-008,24675	 024,1	3
 41,40347	-008,24176	 028,5	3
 41,40347	-008,23677	-018,3	3
 41,40347	-008,23178	-009,8	3
 41,40347	-008,22679	-004,6	3
 41,40347	-008,22180	-009,2	3
 41,40347	-008,21681	-000,1	3
 41,40347	-008,21182	-005,6	3
 41,40347	-008,20683	 013,2	3
 41,40347	-008,20184	 018,7	3
 41,40347	-008,19685	 024,1	3
 41,40347	-008,19186	 024,8	3
 41,40347	-008,18687	 018,1	3
 41,40347	-008,18188	 027,3	3
 41,40347	-008,17689	 028,9	3
 41,40347	-008,17190	 026,6	3
 41,40347	-008,16691	 026,9	3
 41,40347	-008,16192	 001,5	3
 41,40347	-008,15693	-011,5	3
 41,40347	-008,15194	 020,1	3
 41,40347	-008,14695	 024,9	3
 41,40347	-008,14196	-007,3	3
 41,40347	-008,13697	-000,8	3
 41,40347	-008,13198	 025,2	3
 41,40347	-008,12699	 009,2	3
 41,40347	-008,12200	 005,5	3
 41,40347	-008,11701	 029,3	3
 41,40347	-008,11202	 022,3	3
 41,40347	-008,10703	-003,1	3
 41,40347	-008,10204	-021,6	3
 41,40347	-008,09705	-016,1	3
 41,40347	-008,09206	-009,8	3
 41,40347	-008,08707	 009,1	3
 41,40347	-008,08208	 031,0	3
 41,40347	-008,07709	 031,1	3
 41,40347	-008,07210	 032,0	3
 41,40347	-008,06711	-016,9	3
 41,40347	-008,06212	-015,8	3
 41,40347	-008,05713	-023,5	3
 41,40347	-008,05214	-021,7	3
 41,40347	-008,04715	-026,0	3
 41,40347	-008,04216	-009,2	3
 41,40347	-008,03717	 007,2	3
 41,40347	-008,03218	 021,5	3
 41,40347	-008,02719	-015,1	3
 41,40347	-008,02220	-022,3	3
 41,40347	-008,01721	-035,6	3
 41,40347	-008,01222	-028,0	3
 41,40347	-008,00723	-009,8	3
 41,40347	-008,00224	-003,0	3
 41,40347	-007,99725	-012,9	3
 41,40347	-007,99226	-002,3	3
 41,40347	-007,98727	-002,8	3
 41,40347	-007,98228	-006,7	3
 41,40347	-007,97729	-046,3	3
 41,40347	-007,97230	-023,4	3
 41,40347	-007,96731	-004,1	3
 41,40347	-007,96232	-021,4	3
 41,40347	-007,95733	-010,7	3
 41,40347	-007,95234	-000,8	3
 41,40347	-007,94735	 001,2	3
 41,40347	-007,94236	 001,9	3
 41,40347	-007,93737	-000,3	3
 41,40347	-007,93238	 004,5	3
 41,40347	-007,92739	 006,0	3
 41,40347	-007,92240	 007,1	3
 41,40347	-007,91741	-004,2	3
 41,40348	-007,91242	 008,2	3
 41,40347	-007,90743	 006,9	3
 41,40347	-007,90244	 005,8	3
 41,40347	-007,89745	 017,2	3
 41,40347	-007,89246	 019,5	3
 41,40347	-007,88747	 020,3	3
 41,40347	-007,88247	-032,5	3
 41,40347	-007,87748	 009,2	3
 41,40347	-007,87250	-009,1	3
 41,40347	-007,86751	-007,8	3
 41,40347	-007,86251	-004,0	3
 41,40347	-007,85752	-003,5	3
 41,40347	-007,85253	 022,2	3
 41,40347	-007,84754	 029,8	3
 41,40347	-007,84255	 030,3	3
 41,40347	-007,83756	 026,7	3
 41,40347	-007,83257	 029,7	3
 41,40347	-007,82758	 030,0	3
 41,40347	-007,82259	 030,8	3
