Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	5	Resende VHF	 41,13410	-007,98018	552,6
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	-011,9	5
 41,40347	-008,71083	-017,3	5
 41,40347	-008,70584	-016,6	5
 41,40347	-008,70085	-014,8	5
 41,40347	-008,69586	-015,1	5
 41,40348	-008,69087	-016,5	5
 41,40347	-008,68588	-018,2	5
 41,40347	-008,68089	-018,7	5
 41,40347	-008,67590	-020,9	5
 41,40347	-008,67091	-018,0	5
 41,40347	-008,66593	-017,6	5
 41,40347	-008,66093	-020,8	5
 41,40347	-008,65594	-015,8	5
 41,40347	-008,65095	-017,3	5
 41,40347	-008,64596	-016,8	5
 41,40347	-008,64097	-016,3	5
 41,40347	-008,63598	-018,7	5
 41,40347	-008,63099	-020,0	5
 41,40347	-008,62600	-019,5	5
 41,40347	-008,62101	-017,9	5
 41,40347	-008,61602	-019,9	5
 41,40347	-008,61103	-017,9	5
 41,40347	-008,60604	-015,9	5
 41,40347	-008,60105	-023,1	5
 41,40347	-008,59606	-025,6	5
 41,40348	-008,59107	-020,1	5
 41,40347	-008,58608	-020,3	5
 41,40347	-008,58109	-008,3	5
 41,40347	-008,57610	-008,2	5
 41,40347	-008,57111	-012,2	5
 41,40347	-008,56612	-011,6	5
 41,40347	-008,56113	-009,8	5
 41,40347	-008,55614	-009,5	5
 41,40347	-008,55115	-015,9	5
 41,40347	-008,54616	 001,2	5
 41,40347	-008,54117	-004,6	5
 41,40347	-008,53618	-008,2	5
 41,40347	-008,53119	-010,2	5
 41,40347	-008,52620	-011,0	5
 41,40347	-008,52121	-016,6	5
 41,40347	-008,51622	-017,0	5
 41,40347	-008,51123	-009,5	5
 41,40348	-008,50624	-007,0	5
 41,40347	-008,50125	-007,5	5
 41,40347	-008,49626	-006,4	5
 41,40347	-008,49127	-009,0	5
 41,40347	-008,48628	-015,1	5
 41,40347	-008,48129	-018,1	5
 41,40347	-008,47630	-009,7	5
 41,40347	-008,47131	-007,2	5
 41,40347	-008,46632	-004,3	5
 41,40347	-008,46133	-005,2	5
 41,40347	-008,45634	-012,6	5
 41,40347	-008,45135	-016,7	5
 41,40348	-008,44636	-009,4	5
 41,40347	-008,44137	-020,1	5
 41,40347	-008,43638	-018,0	5
 41,40347	-008,43139	-020,9	5
 41,40347	-008,42640	-014,1	5
 41,40347	-008,42141	 003,5	5
 41,40347	-008,41642	-001,2	5
 41,40347	-008,41143	-003,2	5
 41,40347	-008,40644	-008,3	5
 41,40347	-008,40145	-020,1	5
 41,40347	-008,39646	-010,3	5
 41,40347	-008,39147	-007,2	5
 41,40347	-008,38648	-011,6	5
 41,40347	-008,38149	-007,9	5
 41,40347	-008,37650	-013,7	5
 41,40347	-008,37151	-013,3	5
 41,40347	-008,36652	-014,7	5
 41,40347	-008,36153	-007,1	5
 41,40347	-008,35654	-010,8	5
 41,40347	-008,35155	-005,8	5
 41,40348	-008,34656	 005,0	5
 41,40347	-008,34157	 005,5	5
 41,40347	-008,33658	 001,9	5
 41,40347	-008,33159	-016,2	5
 41,40347	-008,32660	-002,0	5
 41,40347	-008,32161	-013,8	5
 41,40347	-008,31662	-014,1	5
 41,40347	-008,31163	 000,0	5
 41,40347	-008,30663	-009,0	5
 41,40347	-008,30165	-014,1	5
 41,40347	-008,29666	-011,0	5
 41,40347	-008,29167	-018,3	5
 41,40347	-008,28667	-012,7	5
 41,40347	-008,28168	-013,3	5
 41,40347	-008,27670	-014,8	5
 41,40347	-008,27170	 006,1	5
 41,40347	-008,26672	 003,6	5
 41,40347	-008,26172	 000,8	5
 41,40347	-008,25673	 000,4	5
 41,40347	-008,25174	-011,9	5
 41,40347	-008,24675	-005,6	5
 41,40347	-008,24176	 002,7	5
 41,40347	-008,23677	-011,3	5
 41,40347	-008,23178	-001,7	5
 41,40347	-008,22679	-009,1	5
 41,40347	-008,22180	-011,5	5
 41,40347	-008,21681	-002,9	5
 41,40347	-008,21182	-003,8	5
 41,40347	-008,20683	-001,9	5
 41,40347	-008,20184	-004,7	5
 41,40347	-008,19685	-009,4	5
 41,40347	-008,19186	 005,2	5
 41,40347	-008,18687	-003,4	5
 41,40347	-008,18188	-002,4	5
 41,40347	-008,17689	 004,8	5
 41,40347	-008,17190	-000,7	5
 41,40347	-008,16691	 002,0	5
 41,40347	-008,16192	 001,3	5
 41,40347	-008,15693	-002,8	5
 41,40347	-008,15194	-002,1	5
 41,40347	-008,14695	 000,6	5
 41,40347	-008,14196	-007,5	5
 41,40347	-008,13697	-005,3	5
 41,40347	-008,13198	-004,2	5
 41,40347	-008,12699	-004,7	5
 41,40347	-008,12200	-000,2	5
 41,40347	-008,11701	 001,2	5
 41,40347	-008,11202	 006,9	5
 41,40347	-008,10703	 002,6	5
 41,40347	-008,10204	 003,1	5
 41,40347	-008,09705	 007,3	5
 41,40347	-008,09206	 003,3	5
 41,40347	-008,08707	-000,5	5
 41,40347	-008,08208	 010,5	5
 41,40347	-008,07709	 011,1	5
 41,40347	-008,07210	 012,5	5
 41,40347	-008,06711	 012,7	5
 41,40347	-008,06212	 012,7	5
 41,40347	-008,05713	 012,7	5
 41,40347	-008,05214	 013,3	5
 41,40347	-008,04715	 007,4	5
 41,40347	-008,04216	-000,1	5
 41,40347	-008,03717	 000,1	5
 41,40347	-008,03218	 017,4	5
 41,40347	-008,02719	 016,8	5
 41,40347	-008,02220	-002,5	5
 41,40347	-008,01721	-002,0	5
 41,40347	-008,01222	 003,0	5
 41,40347	-008,00723	 013,5	5
 41,40347	-008,00224	 014,3	5
 41,40347	-007,99725	 014,4	5
 41,40347	-007,99226	 015,1	5
 41,40347	-007,98727	 003,3	5
 41,40347	-007,98228	 008,9	5
 41,40347	-007,97729	 000,4	5
 41,40347	-007,97230	-008,2	5
 41,40347	-007,96731	 005,6	5
 41,40347	-007,96232	-006,4	5
 41,40347	-007,95733	-004,3	5
 41,40347	-007,95234	 001,6	5
 41,40347	-007,94735	 003,9	5
 41,40347	-007,94236	 003,8	5
 41,40347	-007,93737	-000,4	5
 41,40347	-007,93238	 002,8	5
 41,40347	-007,92739	 002,5	5
 41,40347	-007,92240	 002,0	5
 41,40347	-007,91741	 000,4	5
 41,40348	-007,91242	-002,7	5
 41,40347	-007,90743	-001,1	5
 41,40347	-007,90244	-006,8	5
 41,40347	-007,89745	-001,6	5
 41,40347	-007,89246	-001,5	5
 41,40347	-007,88747	 001,5	5
 41,40347	-007,88247	-001,2	5
 41,40347	-007,87748	 000,2	5
 41,40347	-007,87250	-000,9	5
 41,40347	-007,86751	-010,5	5
 41,40347	-007,86251	-015,9	5
 41,40347	-007,85752	-002,8	5
 41,40347	-007,85253	 002,5	5
 41,40347	-007,84754	 013,7	5
 41,40347	-007,84255	 016,4	5
 41,40347	-007,83756	 013,8	5
 41,40347	-007,83257	 006,2	5
 41,40347	-007,82758	 007,1	5
 41,40347	-007,82259	 012,7	5
 41,40347	-007,81760	 010,2	5
 41,40347	-007,81261	 000,0	5
 41,40347	-007,80762	 004,6	5
 41,40347	-007,80263	 006,9	5
 41,40347	-007,79764	 013,0	5
 41,40347	-007,79265	 007,1	5
 41,40347	-007,78766	 004,0	5
 41,40347	-007,78267	-002,9	5
 41,40347	-007,77768	-004,1	5
 41,40347	-007,77269	 000,9	5
 41,40347	-007,76770	-000,3	5
 41,40347	-007,76271	-001,1	5
 41,40347	-007,75772	 004,4	5
 41,40347	-007,75273	 012,0	5
 41,40347	-007,74774	 003,0	5
 41,40347	-007,74275	-004,4	5
 41,40347	-007,73776	-013,3	5
 41,40347	-007,73277	-018,8	5
 41,40347	-007,72778	-019,4	5
 41,40347	-007,72279	-014,0	5
 41,40347	-007,71780	-009,6	5
 41,40347	-007,71281	-003,1	5
 41,40347	-007,70782	 005,5	5
 41,40347	-007,70283	 002,2	5
 41,40347	-007,69784	 002,1	5
 41,40347	-007,69285	-005,9	5
 41,40347	-007,68786	-015,1	5
 41,40347	-007,68287	 011,0	5
 41,40347	-007,67788	 015,1	5
 41,40347	-007,67289	 016,9	5
 41,40347	-007,66790	 018,2	5
 41,40347	-007,66291	 018,1	5
 41,40347	-007,65792	 017,9	5
 41,40347	-007,65293	 018,0	5
 41,40347	-007,64794	 007,2	5
 41,40347	-007,64295	 018,1	5
 41,40347	-007,63796	-008,5	5
 41,40347	-007,63297	 019,5	5
 41,40347	-007,62798	 018,5	5
 41,40347	-007,62299	 012,3	5
 41,40347	-007,61800	-018,1	5
 41,40347	-007,61301	-012,3	5
 41,40347	-007,60802	-004,0	5
