Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	4	Sardoura VHF	 41,04918	-008,31171	316,6
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 005,5	4
 41,40347	-008,71083	 005,0	4
 41,40347	-008,70584	 013,1	4
 41,40347	-008,70085	 012,4	4
 41,40347	-008,69586	 007,7	4
 41,40348	-008,69087	 005,1	4
 41,40347	-008,68588	 003,8	4
 41,40347	-008,68089	 004,3	4
 41,40347	-008,67590	-000,1	4
 41,40347	-008,67091	 002,8	4
 41,40347	-008,66593	-002,0	4
 41,40347	-008,66093	-007,5	4
 41,40347	-008,65594	-001,3	4
 41,40347	-008,65095	 004,6	4
 41,40347	-008,64596	 003,6	4
 41,40347	-008,64097	-001,7	4
 41,40347	-008,63598	-002,4	4
 41,40347	-008,63099	-001,4	4
 41,40347	-008,62600	-006,9	4
 41,40347	-008,62101	-006,6	4
 41,40347	-008,61602	-008,7	4
 41,40347	-008,61103	-002,2	4
 41,40347	-008,60604	-000,8	4
 41,40347	-008,60105	 002,2	4
 41,40347	-008,59606	 000,0	4
 41,40348	-008,59107	-005,9	4
 41,40347	-008,58608	-009,8	4
 41,40347	-008,58109	 001,6	4
 41,40347	-008,57610	 008,9	4
 41,40347	-008,57111	 006,4	4
 41,40347	-008,56612	 016,4	4
 41,40347	-008,56113	 017,9	4
 41,40347	-008,55614	 009,8	4
 41,40347	-008,55115	 024,7	4
 41,40347	-008,54616	 024,0	4
 41,40347	-008,54117	 012,5	4
 41,40347	-008,53618	 016,6	4
 41,40347	-008,53119	 010,1	4
 41,40347	-008,52620	 015,6	4
 41,40347	-008,52121	 008,9	4
 41,40347	-008,51622	-001,2	4
 41,40347	-008,51123	 019,8	4
 41,40348	-008,50624	 009,1	4
 41,40347	-008,50125	 014,3	4
 41,40347	-008,49626	 015,8	4
 41,40347	-008,49127	 012,9	4
 41,40347	-008,48628	 009,5	4
 41,40347	-008,48129	 009,0	4
 41,40347	-008,47630	 012,7	4
 41,40347	-008,47131	 014,7	4
 41,40347	-008,46632	 014,2	4
 41,40347	-008,46133	 013,6	4
 41,40347	-008,45634	 008,7	4
 41,40347	-008,45135	-002,4	4
 41,40348	-008,44636	 005,2	4
 41,40347	-008,44137	 005,8	4
 41,40347	-008,43638	-000,4	4
 41,40347	-008,43139	 013,7	4
 41,40347	-008,42640	-003,8	4
 41,40347	-008,42141	 022,6	4
 41,40347	-008,41642	 019,9	4
 41,40347	-008,41143	 018,8	4
 41,40347	-008,40644	 016,4	4
 41,40347	-008,40145	 012,9	4
 41,40347	-008,39646	 005,0	4
 41,40347	-008,39147	 010,7	4
 41,40347	-008,38648	 009,1	4
 41,40347	-008,38149	 006,0	4
 41,40347	-008,37650	 003,4	4
 41,40347	-008,37151	 011,3	4
 41,40347	-008,36652	 008,2	4
 41,40347	-008,36153	 012,5	4
 41,40347	-008,35654	 017,7	4
 41,40347	-008,35155	 024,0	4
 41,40348	-008,34656	 028,1	4
 41,40347	-008,34157	 028,7	4
 41,40347	-008,33658	 024,8	4
 41,40347	-008,33159	-000,9	4
 41,40347	-008,32660	 020,5	4
 41,40347	-008,32161	 014,6	4
 41,40347	-008,31662	 024,2	4
 41,40347	-008,31163	 028,4	4
 41,40347	-008,30663	 025,2	4
 41,40347	-008,30165	 005,6	4
 41,40347	-008,29666	-007,9	4
 41,40347	-008,29167	 005,0	4
 41,40347	-008,28667	-005,7	4
 41,40347	-008,28168	 005,0	4
 41,40347	-008,27670	-013,5	4
 41,40347	-008,27170	 016,5	4
 41,40347	-008,26672	 027,3	4
 41,40347	-008,26172	 024,8	4
 41,40347	-008,25673	 026,3	4
 41,40347	-008,25174	 011,1	4
 41,40347	-008,24675	 026,2	4
 41,40347	-008,24176	 026,7	4
 41,40347	-008,23677	 007,3	4
 41,40347	-008,23178	 008,5	4
 41,40347	-008,22679	 011,3	4
 41,40347	-008,22180	-004,1	4
 41,40347	-008,21681	 004,5	4
 41,40347	-008,21182	 001,2	4
 41,40347	-008,20683	 011,0	4
 41,40347	-008,20184	 017,8	4
 41,40347	-008,19685	 030,5	4
 41,40347	-008,19186	 026,5	4
 41,40347	-008,18687	 017,8	4
 41,40347	-008,18188	 023,8	4
 41,40347	-008,17689	 028,7	4
 41,40347	-008,17190	 014,9	4
 41,40347	-008,16691	 016,4	4
 41,40347	-008,16192	 012,5	4
 41,40347	-008,15693	 001,9	4
 41,40347	-008,15194	 026,8	4
 41,40347	-008,14695	 032,7	4
 41,40347	-008,14196	 006,2	4
 41,40347	-008,13697	 013,4	4
 41,40347	-008,13198	 017,5	4
 41,40347	-008,12699	 005,9	4
 41,40347	-008,12200	 010,9	4
 41,40347	-008,11701	 032,3	4
 41,40347	-008,11202	 020,3	4
 41,40347	-008,10703	 003,2	4
 41,40347	-008,10204	 003,6	4
 41,40347	-008,09705	 005,2	4
 41,40347	-008,09206	 026,0	4
 41,40347	-008,08707	 026,8	4
 41,40347	-008,08208	 035,5	4
 41,40347	-008,07709	 036,7	4
 41,40347	-008,07210	 037,3	4
 41,40347	-008,06711	 007,0	4
 41,40347	-008,06212	 003,0	4
 41,40347	-008,05713	 002,7	4
 41,40347	-008,05214	 010,2	4
 41,40347	-008,04715	 006,4	4
 41,40347	-008,04216	 014,8	4
 41,40347	-008,03717	 022,0	4
 41,40347	-008,03218	 032,5	4
 41,40347	-008,02719	 025,5	4
 41,40347	-008,02220	-009,9	4
 41,40347	-008,01721	-018,4	4
 41,40347	-008,01222	 000,0	4
 41,40347	-008,00723	 013,0	4
 41,40347	-008,00224	 017,0	4
 41,40347	-007,99725	 013,2	4
 41,40347	-007,99226	 015,5	4
 41,40347	-007,98727	 017,6	4
 41,40347	-007,98228	 018,2	4
 41,40347	-007,97729	-015,7	4
