"Packet","Trip"
1,652
2,652
3,653
4,652
5,654
6,653
7,652
8,657
9,653
10,654
11,654
12,653
13,654
14,655
15,655
16,654
17,658
18,658
19,656
20,656
21,655
22,654
23,654
24,655
25,655
26,655
27,655
28,655
29,655
30,655
31,662
32,663
33,655
34,657
35,661
36,656
37,658
38,656
39,656
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,814
48,662
49,659
50,660
51,659
52,659
53,664
54,660
55,664
56,660
57,661
58,660
59,660
60,664
61,661
62,660
63,661
64,665
65,662
66,661
67,663
68,662
69,662
70,663
71,662
72,662
73,663
74,662
75,666
76,664
77,665
78,662
79,663
80,662
81,665
82,664
83,663
84,667
85,664
86,665
87,664
88,665
89,667
90,666
91,668
92,666
93,666
94,666
95,669
96,666
97,666
98,665
99,669
100,665
